feature,place,category,pred,,,,,,,
time,Gravy_Restaurant,price,0.5933924,,,,,,,
username,Gravy_Restaurant,service,0.004230499,,,,,,,
words,Gravy_Restaurant,price,0.38943365,,,,,,,
Food,Gravy_Restaurant,food,-0.11786359,,,,,,,
mark,Gravy_Restaurant,price,-0.11786359,,,,,,,
expectations,Gravy_Restaurant,price,0.14510907,,,,,,,
bit,Gravy_Restaurant,price,0.040548265,,,,,,,
chicken,Gravy_Restaurant,food,0.035645716,,,,,,,
items,Gravy_Restaurant,price,0.035645716,,,,,,,
week,Gravy_Restaurant,price,-0.09829035,,,,,,,
time,Gravy_Restaurant,price,-0.000789873,,,,,,,
things,Gravy_Restaurant,price,0.46908695,,,,,,,
liking,Gravy_Restaurant,price,0.46908695,,,,,,,
meal,Gravy_Restaurant,food,0.09497556,,,,,,,
service,Gravy_Restaurant,service,0.98574173,,,,,,,
butter,Gravy_Restaurant,food,-0.41211197,,,,,,,
chicken,Gravy_Restaurant,food,-0.41211197,,,,,,,
guys,Gravy_Restaurant,service,-0.005253732,,,,,,,
quality,Gravy_Restaurant,price,0.58917755,,,,,,,
food,Gravy_Restaurant,food,0.58917755,,,,,,,
way,Gravy_Restaurant,price,0.095939964,,,,,,,
food,Gravy_Restaurant,food,0.095939964,,,,,,,
service,Gravy_Restaurant,service,-0.003514387,,,,,,,
staff,Gravy_Restaurant,service,-0.00534907,,,,,,,
names,Gravy_Restaurant,price,-0.00534907,,,,,,,
Parth,Gravy_Restaurant,Non-Categorised,-7.70E-05,,,,,,,
food,Gravy_Restaurant,food,1.0034363,,,,,,,
staff,Gravy_Restaurant,service,0.57468593,,,,,,,
words,Gravy_Restaurant,price,0.38943365,,,,,,,
food,Gravy_Restaurant,food,0.49010894,,,,,,,
service,Gravy_Restaurant,service,0.69859076,,,,,,,
food,Gravy_Restaurant,food,-0.003575698,,,,,,,
side,Gravy_Restaurant,price,-0.003575698,,,,,,,
service,Gravy_Restaurant,service,0.53993607,,,,,,,
points,Gravy_Restaurant,price,0.25469452,,,,,,,
review,Gravy_Restaurant,price,0.25708896,,,,,,,
lunch,Gravy_Restaurant,price,0.78360593,,,,,,,
time,Gravy_Restaurant,price,-0.059457682,,,,,,,
chicken,Gravy_Restaurant,food,-0.059457682,,,,,,,
curry,Gravy_Restaurant,food,-0.059457682,,,,,,,
sets,Gravy_Restaurant,price,-0.059457682,,,,,,,
tummy,Gravy_Restaurant,food,-0.059457682,,,,,,,
afternoon,Gravy_Restaurant,price,-0.059457682,,,,,,,
Service,Gravy_Restaurant,Non-Categorised,-0.002765022,,,,,,,
rice,Gravy_Restaurant,ambience,-0.003056459,,,,,,,
dal,Gravy_Restaurant,food,-7.70E-05,,,,,,,
predicament,Gravy_Restaurant,price,-0.004604608,,,,,,,
food,Gravy_Restaurant,food,-0.004604608,,,,,,,
Afternoons,Gravy_Restaurant,food,0.010662027,,,,,,,
solution,Gravy_Restaurant,price,0.00593555,,,,,,,
kind,Gravy_Restaurant,price,0.39250067,,,,,,,
review,Gravy_Restaurant,price,0.39250067,,,,,,,
problem,Gravy_Restaurant,price,-0.006661929,,,,,,,
review,Gravy_Restaurant,price,-0.002294228,,,,,,,
Tandoori,Gravy_Restaurant,food,0.038267486,,,,,,,
chicken,Gravy_Restaurant,food,0.038267486,,,,,,,
biryani,Gravy_Restaurant,food,-7.70E-05,,,,,,,
time,Gravy_Restaurant,price,0.24907094,,,,,,,
service,Gravy_Restaurant,service,0.9092574,,,,,,,
priyank,Gravy_Restaurant,food,0.9092574,,,,,,,
food,Gravy_Restaurant,food,0.9092574,,,,,,,
chef,Gravy_Restaurant,food,0.9092574,,,,,,,
place,Gravy_Restaurant,ambience,-0.002386689,,,,,,,
review,Gravy_Restaurant,price,0.25708896,,,,,,,
place,Gravy_Restaurant,ambience,0.79295874,,,,,,,
people,Gravy_Restaurant,service,0.47301155,,,,,,,
food,Gravy_Restaurant,food,0.6947908,,,,,,,
team,Gravy_Restaurant,service,0.4777057,,,,,,,
praise,Gravy_Restaurant,price,-0.01107277,,,,,,,
mutton,Gravy_Restaurant,food,-0.00521145,,,,,,,
bhuna,Gravy_Restaurant,food,-0.00521145,,,,,,,
naans,Gravy_Restaurant,food,-7.70E-05,,,,,,,
praise,Gravy_Restaurant,price,0.4666286,,,,,,,
people,Gravy_Restaurant,service,0.4666286,,,,,,,
restaurant,Gravy_Restaurant,ambience,0.4666286,,,,,,,
food,Gravy_Restaurant,food,0.59522635,,,,,,,
daal,Gravy_Restaurant,food,-0.004110821,,,,,,,
makhani,Gravy_Restaurant,food,-0.004110821,,,,,,,
tondie,Gravy_Restaurant,food,-0.004110821,,,,,,,
butter,Gravy_Restaurant,food,0.7292082,,,,,,,
favourites,Gravy_Restaurant,price,0.000718564,,,,,,,
city,Gravy_Restaurant,price,0.000718564,,,,,,,
️,Gravy_Restaurant,food,0.000718564,,,,,,,
